"new_ID","ID","Type","Param","sp_name_std","Start","End","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Duration","ShiftRate","UnitRate","Areakm2","LatExtentk","Eco","kingdom","phylum","class","family","Hemisphere","bvel","bvel_lat","bvel_lat2","bvel_lat_error","bvel_angle","bvel95","bvel95_lat","bvel95_lat_error","bvel95_angle","sensitivity","validation","calibration","Boyce","TSS","signoise","mismatch","mismatch_percent","mismatch_trend","match_direction","lag_overshoot","match_direction_class","mismatch95","mismatch95_percent","mismatch95_trend","match_direction95","lag_overshoot95","match_direction95_class"
"A112_P1 Acrocarpia_paniculata 1994 2006 LAT LE","A112_P1","LAT","LE","Acrocarpia_paniculata",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,0,"km/year",17727.15,351.61,"Mar","Chromista","Ochrophyta","Phaeophyceae","Sargassaceae","South hemisphere",0.813831279171811,-0.810039358685315,-0.810039358685315,0,5.5331038805952,813.831279171811,-0.810039358685315,2.89666474415213e-14,5.5331038805952,81.8040029239766,0.468333333333333,0.513,0.651,0.513,Inf,0.810039358685315,Inf,11.3405510215944,"match","overshoot","negneg",0.810039358685315,Inf,11.3405510215944,"match","overshoot","negneg"
"A112_P1 Aplodactylus_arctidens 1994 2006 LAT LE","A112_P1","LAT","LE","Aplodactylus_arctidens",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,0.1112,"km/year",17727.15,351.61,"Mar","Animalia","Chordata","Actinopteri","Aplodactylidae","South hemisphere",0.459719468531496,0.140417349869429,0.140417349869431,0,252.215279522928,459.719468531496,0.140417349869429,1.75012936645523e-14,252.215279522928,75.1700891697385,0.4455,0.47475,-0.502,0.47475,Inf,-0.029217349869429,-26.274595206321,-0.409042898172006,"match","lag","pospos",-0.029217349869429,-26.274595206321,-0.409042898172006,"match","lag","pospos"
"A112_P1 Argobuccinum_pustulosum 1994 2006 LAT LE","A112_P1","LAT","LE","Argobuccinum_pustulosum",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,-2.0496,"km/year",17727.15,351.61,"Mar","Animalia","Mollusca","Gastropoda","Cymatiidae","South hemisphere",0.123470244968467,-0.117556541544499,-0.117556541544499,6.39132704872204e-14,17.8047170621793,123.470244968467,-0.117556541544499,2.90701033679044e-14,17.8047170621793,90.5456906077348,0.622583333333333,0.67875,-0.176,0.67875,1839313504822.21,-1.9320434584555,94.2644154203504,-27.048608418377,"match","lag","negneg",-1.9320434584555,94.2644154203504,-27.048608418377,"match","lag","negneg"
"A112_P1 Cystophora_platylobium 1994 2006 LAT LE","A112_P1","LAT","LE","Cystophora_platylobium",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,0.1112,"km/year",17727.15,351.61,"Mar","Chromista","Ochrophyta","Phaeophyceae","Sargassaceae","South hemisphere",0.709222799563311,-0.281439631477252,-0.281439631477253,0,293.380045251273,709.222799563311,-0.281439631477252,6.39132704872204e-14,293.380045251273,79.901043806002,0.515583333333333,0.585916666666667,0.112,0.585916666666667,Inf,0.392639631477252,353.093193774507,5.49695484068153,"match","overshoot","negneg",0.392639631477252,353.093193774507,5.49695484068153,"match","overshoot","negneg"
"A112_P1 Dictyopteris_muelleri 1994 2006 LAT LE","A112_P1","LAT","LE","Dictyopteris_muelleri",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,1.4424,"km/year",17727.15,351.61,"Mar","Chromista","Ochrophyta","Phaeophyceae","Dictyotaceae","South hemisphere",0.893266455108569,-0.773755090005171,-0.773755090005171,0.901636776039858,29.9790000167799,893.266455108569,-0.773755090005171,1.75012936645523e-14,29.9790000167799,90.0256337089543,0.630583333333333,0.68775,0.437,0.68775,0.85816718058422,2.21615509000517,153.643586384163,31.0261712600724,"match","overshoot","negneg",2.21615509000517,153.643586384163,31.0261712600724,"match","overshoot","negneg"
"A112_P1 Meuschenia_flavolineata 1994 2006 LAT LE","A112_P1","LAT","LE","Meuschenia_flavolineata",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,0,"km/year",17727.15,351.61,"Mar","Animalia","Chordata","Actinopteri","Monacanthidae","South hemisphere",0.231160404959384,-0.0851043076287842,-0.0851043076287853,0,291.602262486031,231.160404959384,-0.0851043076287842,2.79427613353719e-14,291.602262486031,90.3824718862985,0.633416666666667,0.668416666666667,0.608,0.668416666666667,Inf,0.0851043076287842,Inf,1.19146030680298,"match","overshoot","negneg",0.0851043076287842,Inf,1.19146030680298,"match","overshoot","negneg"
"A112_P1 Meuschenia_hippocrepis 1994 2006 LAT LE","A112_P1","LAT","LE","Meuschenia_hippocrepis",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,0.3022,"km/year",17727.15,351.61,"Mar","Animalia","Chordata","Actinopteri","Monacanthidae","South hemisphere",0.945470077670592,0.189048178412863,0.189048178412868,2.3586485337944,101.534124024295,945.470077670592,0.189048178412863,0.912521337103071,101.534124024295,99.0324223067863,0.913083333333333,0.91975,0.802,0.91975,0.0801510592630509,0.113151821587137,37.4426941056046,1.58412550221992,"match","overshoot","pospos",0.113151821587137,37.4426941056046,1.58412550221992,"match","overshoot","pospos"
"A112_P1 Pictilabrus_laticlavius 1994 2006 LAT LE","A112_P1","LAT","LE","Pictilabrus_laticlavius",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,-0.2391,"km/year",17727.15,351.61,"Mar","Animalia","Chordata","Actinopteri","Labridae","South hemisphere",0.170154812327734,0.1563982063229,0.1563982063229,6.39132704872204e-14,156.802483358634,170.154812327734,0.1563982063229,0,156.802483358634,96.5127418643133,0.750666666666667,0.755416666666667,0.918,0.755416666666667,2447038074106.57,-0.3954982063229,165.411211343747,-5.5369748885206,"match","lag","pospos",-0.3954982063229,165.411211343747,-5.5369748885206,"match","lag","pospos"
"A112_P1 Plectaster_decanus 1994 2006 LAT LE","A112_P1","LAT","LE","Plectaster_decanus",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,0,"km/year",17727.15,351.61,"Mar","Animalia","Echinodermata","Asteroidea","Echinasteridae","South hemisphere",0.147989228824561,-0.113122320661412,-0.113122320661412,6.39132704872204e-14,40.1467449684443,147.989228824561,-0.113122320661412,2.89666474415213e-14,40.1467449684443,74.1450928767566,0.45425,0.515916666666667,0.028,0.515916666666667,1769934785046.42,0.113122320661412,Inf,1.58371248925977,"match","overshoot","negneg",0.113122320661412,Inf,1.58371248925977,"match","overshoot","negneg"
"A112_P1 Scorpis_lineolata 1994 2006 LAT LE","A112_P1","LAT","LE","Scorpis_lineolata",1993.5,2006.5,"small",2,"TWO","CensusPeriods","occurrence","Resurveyed",14,-0.8621,"km/year",17727.15,351.61,"Mar","Animalia","Chordata","Actinopteri","Kyphosidae","South hemisphere",0.254039494513993,0.247345017615908,0.247345017615908,6.39132704872204e-14,166.817320609711,254.039494513993,0.247345017615908,1.84033432335607e-14,166.817320609711,92.9904422252175,0.659333333333333,0.680083333333333,0.971,0.680083333333333,3870010339486,-1.10944501761591,128.690989167835,-15.5322302466227,"match","lag","pospos",-1.10944501761591,128.690989167835,-15.5322302466227,"match","lag","pospos"
